Polarities,new_text
正面,保湿做好不会有卡粉浮粉现象。
正面,她说还不错，
正面,物流速度太快了，
正面,包装真心不错 
正面,收货迅速，
正面,东西还不错！
正面,面膜是正品，
正面,用完不紧绷，
负面,就是快递的包装怎么又是中空的，
正面,感觉效果还不错，
正面,贴装，
正面,发货神速，
正面,可以
正面,洗了还比较干净，
正面,洗脸不刺激 
正面,面膜还是很好用的，
正面,快速到达。
正面,用的时候不沙眼睛，
负面,洗面奶很薄，
正面,面膜感觉不错，
正面,包装和快递都好，
正面,感觉蛮轻薄的！
正面,保湿效果不错
正面,瓶子很漂亮，
正面,用了半个月了才来评价一个字好好好，
中性,还好吧 
正面,**的服务跟物流一样棒哦
正面,超级好用。
正面,服帖
正面,感觉应该不错。
正面,***的产品都超级好用，
正面,宝贝用着很好，
负面,味道刚开始不习惯，
正面,试用了一下挺好用的，
正面,敏感肌用一点没问题，
负面,真**坑人
中性,首先包装非常，
正面,很喜欢这个洗面奶。
正面,颜值也高不错
正面,很实在！
正面,东西很不错 
正面,可以香味也可以
中性,到时候用了看是不是正品，
正面,双十一物流居然也第二天到，
正面,隔离防晒霜正品，
正面,保湿效果非常好，
正面,气垫还不错，
负面,不是太完美
正面,感觉挺好用的，
正面,颜色很自然，
正面,价格挺实惠的，
正面,颜色正，
正面,一点都不油腻，
负面,可是有点黑。
正面,试了一下还不错，
正面,抹上去了感觉看起来很爽，
正面,一直在使用的品牌、物流给力、**搞活动时很优惠
正面,还有泡沫很多哦
正面,用起来感觉很水润
正面,而且擦了有提亮肤色现货
正面,还有快递小哥，
正面,属于物美价廉的那种，
正面,买了两套送了一套赠品??，
正面,**送货很快，
正面,可以 
中性,不知道用了会不会过敏，
负面,没想到那么辣眼睛，
正面,颜色也正合适，
负面,一股浓浓的酒精味
正面,不拉眼，
正面,用完不紧绷！
正面,去年买的刚打开有点淡淡的味道。
正面,真心不错
负面,精华太少啦
正面,又便宜又快。
正面,好用很喜欢！
正面,用了之后感觉皮肤水水润润的，
正面,有淡淡的香味
正面,还可以开始用
正面,用着也还不错，
正面,很好很喜欢
正面,皮肤很滑，
正面,味道还好，
正面,昨天收到类今天早上用了一下特别湿润
正面,棒棒哒
正面,感觉挺好的，
正面,这款面膜好用不贵，
负面,买了几百块也没赠品
负面,妈妈说量有点少不过好用
正面,东西挺好用的，
正面,用起来不错，
负面,不怎么亮肤
正面,货真价实，
正面,此次活动超级合适，
正面,升级版不干燥。
正面,用起来感觉很不错，
正面,听服帖，
正面,感觉可以，
正面,快递超快的，
正面,很补水效果很好，
正面,到货快，
正面,味道淡淡的 
正面,面膜数量很多啊，
正面,美容液比较丰富，
正面,很好的，
正面,看着还不错 
负面,和在门店买的味道不一样，
正面,瓶子看着不错哦
正面,第一次使用隔离霜感觉美白效果和隔离效果都很不错。
正面,我个人认为还OK。
正面,这款洗面奶很好用，
中性,但是现在价格没有原来美好了，
正面,面膜很好以前我也用过这个牌子，
正面,客服小海龙非常好。
正面,价格比实体店的要便宜很多。
正面,补水效果超级好，
正面,很不错哦！
正面,但相信是不错的，
正面,喜欢粉粉的盒子。
正面,方便快捷
正面,店家还送了礼品，
负面,酒精的味道比较重
正面,但用着有点油
正面,比实体店便宜多了。
正面,使用效果：挺好的耶 
正面,很温和
正面,量比大
正面,感觉非常不错
正面,抖音种草总体来说还不错，
负面,不过我上次买的味道有点刺鼻，
负面,我就过敏了，
正面,隔离真的好用
正面,品质很好。
正面,**物流又快，
正面,超级好用！
负面,不大好
正面,真心划算，
正面,是正品。
正面,比我用的那些韩国面膜好用，
正面,补水很好用，
正面,面膜的精华液很多！
正面,很好推开，
负面,这款价格经常变动越来越高了啊
正面,期待一如以往的好用
正面,补水效果超好，
正面,妈妈说好用
中性,就是有点稠，
正面,正装一如既往的好送的比之前的少了点 
负面,对我来说有点干 
正面,上次买了一支清洗的很干净，
正面,这个用着不错哦，
正面,这里买的是正品
正面,补水效果还可以 
正面,包装好看，
正面,赶上活动买还有赠品，
正面,赞
正面,这个真的还不错 
正面,补水效果杠杠的
正面,感觉挺补水的，
正面,大品牌值得信赖是真品，
正面,价格也不贵，
正面,面膜挺好用的，
正面,还可以用着还行，
正面,很适合我的皮肤使用感觉到不错，
正面,做活动的时候买的，
正面,不错哦！
正面,清洁度比较好吧，
正面,我是店铺搞活动时买的，
负面,但清洁效果不是很好
正面,贴合度：很好很满意。
负面,不开心
正面,好划算，
正面,服务杠杠的
正面,不遮眼睛
负面,包装差劲，
正面,是我喜欢的款式。
正面,很好用的宝贝 
正面,买一赠一也很实惠 
正面,送货快
正面,还可以
正面,最主要的是蚕丝面料，
负面,商家态度极差
负面,洗面奶感觉不是很好用呢，
负面,有些失望，
负面,货收到了使用一下没有还可以就是有点小贵
正面,毕竟价格合理
正面,干净。
正面,漂亮的包装，
正面,是正品好用 
正面,保湿效果挺好，
正面,好用不贵的东西，
正面,活动时候挺合适的，
正面,不油腻
正面,用着非常好，
正面,和我在实体店买的差不多气味相似，
正面,用着很舒服，
负面,就是有点油亮油亮的。
正面,现在才发现在**买更方便而且价格便宜哦
正面,非常香，
正面,客服非常非常满意
正面,非常非常好，
正面,很接近肤色，
正面,客服也很细心，
正面,很常满意
正面,用后脸不紧绷！
正面,味道淡淡的。
正面,很香哦！
正面,物流也很快！
正面,遮瑕效果不错，
正面,价格实惠还有赠品
正面,是正品！
负面,明明买的时候还有赠品的，
正面,优惠多多。
正面,拍上修颜霜很服帖。
正面,特别舒服。
负面,洗完脸很滑，
正面,特别的好用，
正面,很适合
正面,效果比想像的要好
正面,很清爽
正面,用了后脸滋润很多，
正面,非常好真的好喜欢好帖
正面,味道也喜欢，
正面,商品价格合适，
正面,不错挺好，
正面,不错我喜欢
中性,打开东西很不错，
正面,**的物流超快的，
正面,服务也很好！
正面,性价比很高，
正面,超值了！
正面,**配送很给力，
正面,用着效果不错。
正面,面膜也很好用
正面,快递没话说，
正面,粉质细腻。
负面,味道有点点膳？听湿润，
正面,包装很到位，
负面,不知为什么这次的酒精味都点大，
正面,**快递很快的
正面,非常非常好用啊 
正面,很自然
正面,送货速度非常快！
负面,持久度也不好，
正面,挺薄的，
正面,双十一买还送礼品，
正面,挺好吸收，
正面,用着还行 
正面,包装很好，
正面,快递服务也很好，
正面,但是还好，
正面,商品不错，
正面,味道也是很不错，
正面,价格也很合适，
正面,也划算。
正面,太赞了
正面,好惊喜，
负面,遮瑕效果不好，
正面,透气性比较好，
正面,物流够快 
负面,超级难用！
正面,泡沫很细腻。
正面,量足300+160ML还有化妆棉，
中性,遮瑕力一般、主要是轻薄、提亮肤色、建议黄皮的买自然色或者无瑕色
正面,反正特别好用
正面,老婆很喜欢。
中性,控油效果一般 
正面,**买东西速度快 
负面,一点都不好用，
正面,感觉很适合我的皮肤！
正面,比外面买的便宜得多 
正面,买一送一挺便宜的
正面,一点都没有破损，
正面,看着是正品，
负面,浮粉
正面,值得推荐
中性,防晒效果还待观察！
正面,用了后丝润光滑
正面,包装很好看，
正面,包装很精美，
正面,双十一抢得了这个超级好用诶，
正面,效果还不错，
正面,物流也快
正面,你这挺好用的还挺实惠，
负面,这款泡沫少但清洗很干净，
正面,很好用的隔离，
中性,说实话一般，
正面,不紧绷
正面,老婆喜欢。
正面,用了跟舒服也很符合我的皮肤，
正面,赞赞赞赞赞！
正面,恒润乳特别好，
正面,真的很补水，
正面,包装也很好，
正面,很干净 
正面,清洁力也不错，
正面,挺实惠，
正面,东西是挺便宜的，
正面,水润皮肤，
正面,很适合，
正面,还不错的样子，
正面,金主爸爸也很给力！
正面,价位也非常合适。
正面,而且很方便，
正面,气垫还行，
负面,啥也没送不太开心
正面,她很喜欢
负面,只是稍微有点提亮。
负面,就是包装太简便了吧，
正面,而且还很好用，
正面,支持**送货迅速！
正面,试用了一下有淡淡的清香味，
正面,保温效果挺好的，
正面,但是妆感还可以
正面,很好！
负面,感觉有点干，
负面,不好上妆，
负面,持久情况：下午好像有点出油 
正面,还不错&hellip
正面,特别好用值得购买
中性,感觉有一点厚重。
正面,速度快，
正面,这个价格物超所值！
正面,卸妆效果很一般嘛，
正面,价格也可以。
负面,难用哦，
正面,不紧绷。
正面,没想到算上赠品三个，
正面,觉得不错
正面,买给自己妈妈用的洗面奶她很喜欢我也觉得很不错的呀真的超级棒
正面,敷完很湿润，
正面,产品价格也很合理
正面,?速度好快呀，
正面,遇到活动时候抢来用最实惠，
正面,用起来不油腻，
正面,东西挺好！
正面,非常棒
正面,这个挺好用的，
正面,买了三瓶送了好几样赠品，
正面,价格相当实惠，
正面,清爽而光滑，
正面,特别喜欢
正面,脸上滑滑的
正面,正品保证
正面,用过后皮肤很光滑
正面,旗舰店应该是真的东西，
正面,说比较好用，
正面,感觉无比的高大上，
正面,这款还好
正面,物流速度有点慢，
负面,刚上脸觉得有些黏腻，
正面,第一次用感觉挺好的！
负面,太不靠谱了吧，
正面,通透光洁美白，
正面,挺好的不错。
正面,比我想象中的效果要好很多
正面,这款的气味也很好闻，
正面,用了白白的，
中性,防晒效果还不知道。
负面,擦了效果不是很明显，
正面,使用起来也很方便的！
正面,这款泡沫少但清洗很干净，
负面,遮瑕不适合，
正面,包装漂亮，
正面,客服小海绵的服务也很好 
正面,最主要是便宜，
正面,应该是效果是可以的
正面,发货挺快的，
正面,而且挺上色，
正面,很喜欢很喜欢
正面,好用 
正面,又便宜。
正面,质量不错，
正面,用了效果不错
正面,清洁力还行的。
正面,量多～～～能用好久～～～
负面,好几百的东西包装好差像地滩货，
正面,味道挺好闻的
正面,隔离效果好，
正面,洗面奶挺温和的 
正面,很划算的一次购物哦，
负面,其实收到也就一点点，
正面,适合肤质：很好用的一款
中性,控油效果：这个人很懒，
正面,宝贝超极好。
负面,包装很旧😒😒
正面,挺好。
正面,质地轻薄比较好推开，
正面,修饰肤色，
正面,试了一下修饰肤色的效果比较自然。
正面,用了这么多面膜.还是觉得这个好用.超级补水保湿
正面,效果还行，
正面,轻薄也不油腻，
正面,快递小哥很热情，
正面,快递速度很快，
正面,物流也很给力，
正面,试了一张保湿照顾还不错，
正面,第三次购买了?????特喜欢这种香味
中性,一般般
正面,都说包装不好，
正面,脸上用了挺水润的，
正面,速度很快！
负面,味道咱也不喜欢
正面,这款产品用着非常好！
正面,挺好闻的，
正面,不错就是快就是快快快的
正面,这款面膜保湿效果真的不错哦！
中性,至于修复角质层的效果得等一段时间。
正面,真的很划算，
正面,比较好用，
正面,效果很棒，
正面,用完感觉皮肤很清爽
正面,物流给力下次还会光临，
负面,感觉防晒都是有点油
正面,快递小哥直接送货到家
正面,物流也挺快的
正面,卖家送的礼品超级喜欢 
正面,吸收还好
正面,物流超级给力，
正面,价钱合理，
负面,质量不怎么样，
正面,水水的，
正面,价格便宜量又足，
正面,补水效果不错
正面,好东西好东西好评好评好评，
正面,防晒涂着很清爽，
正面,味道香香的，
正面,精华也很多
正面,隔离效果很好。
正面,不过挺保湿，
正面,易涂开，
负面,和我的小伙伴一起用的比较油腻必须用水洗两遍才会好，
正面,价格实惠 
正面,找客服马上补发了一瓶，
正面,东西好，
正面,喜欢这颜色和味道，
正面,还行吧
正面,****的非常好，
正面,听朋友介绍的说很好用就买来试试，
正面,包装看起来不错
正面,白皙水嫩擦后脸上没有干粉。
正面,微微一点白，
负面,里面的东西好少，
正面,非常非常喜欢。
正面,很赞很喜欢，
正面,真的很好用
正面,**物流超快，
正面,味道有点点膳？听湿润，
正面,也不黏糊糊，
正面,感觉还可以，
正面,试了一下感觉不错哦。
正面,送的面膜也是超好用的，
正面,很很用的
正面,很好非常好，
正面,很好卸妆，
中性,正不正品不知道，
负面,不怎么起泡沫，
正面,马上效果挺好的，
正面,比预想的好很多，
正面,这次的面膜用着过敏了！
正面,非常好！
正面,特划算，
正面,很舒服 
正面,效果不错挺好的 
正面,有活动才买
正面,使用无异常，
正面,价格便宜，
正面,面膜纸贴合很好，
正面,好用保湿！
正面,洗了脸很清爽舒服。
正面,客服热心的又补发了一支～～～ 
正面,相较其他遮瑕，
中性,用着觉得一般化，
正面,感觉很好，
正面,满意。
正面,感觉很服帖。
正面,发货速度很快，
负面,清洁能力：弱 
正面,物流还常快，
正面,***的这款隔离霜很不错，
负面,粉质不是很好，
正面,完美收货，
正面,应该不错
正面,这个面膜还可以，
正面,水水的很舒服，
正面,没有过敏的情况，
正面,对于我这种黄皮效果很好
正面,当然给个好评
正面,非常好用
正面,感觉还不错，
负面,我感觉不太适合我，
正面,感觉还好
正面,买的值，
正面,妈妈挺喜欢这个牌子的，
正面,有点脱皮的感觉，
负面,用着感觉脸可干
正面,还很划算，
正面,不过质地很温和，
正面,也很服帖，
负面,墨角藻的黑面膜不行，
正面,不错不错，
正面,看着不错??
正面,上脸很服帖
正面,物流还是很快的，
负面,服务不好还叫我发5颗星
正面,敷完吸收很快
正面,感觉很不错的样子
中性,应该还可以吧，
正面,东西还不错用一段时间之后再来追评
正面,干净不紧绷。
正面,用着很舒服
正面,活动的时候买的很划算
正面,效果挺好的，
正面,擦脸上很自然的颜色
正面,不过应该还可以吧
负面,这次活动价格并没有便宜很多
正面,满意
正面,细腻不油腻 
正面,遮瑕四星，
正面,持久情况：持装效果大半天是没问题
正面,价格能接受，
正面,感觉好用
正面,隔离效果很好、一直都在用
正面,挺温和~
正面,用起可以，
负面,泡沫很少，
负面,东西太一般了没有说的那么好并且还干，
正面,看着还不错，
正面,用起来挺自然，
正面,服务态度也好
负面,乳液和面霜都带有香味，
正面,主要不卡粉
正面,价格比实体店实惠，
