Categories,new_text
整体,每天一片效果还是不错的
整体,很滋润、挺好的，
功效,敷完湿湿润润的肤色也亮亮的！
价格,性价比高
整体,最主要的是太合适了！
气味,酒精味道比较浓郁
整体,还行吧！
真伪,试用了一下就是有点黏黏的不知道是不是正品。
整体,不错不错，
价格,挺超值的，
功效,而且挺上色，
功效,卸的也干净
包装,就是没有礼盒包装，
整体,感觉被骗了！
其他,量大耐用。
整体,超赞
价格,一如既往的好～感谢店家送的礼品。
整体,这个面膜是我用的最好用的一个，
真伪,绝对正品，
功效,上妆效果：上妆效果一般咯 
尺寸,还可以，
服务,小海葵服务非常好
物流,物流也特别快给满分
气味,略带香味，
物流,物流很给力哦！
价格,价钱实惠，
整体,这个不太好，
物流,就是物流运输时把瓶盖给弄碎了
价格,超值，
使用体验,好看方便使用，
整体,特别好用清爽不油腻
物流,快递小哥送货速度快，
整体,非常好用的一款面膜，
价格,买的值，
整体,说很好
价格,价格是平民价，
功效,这款卸妆水卸的很干净，
包装,包装太随便了，
使用体验,这款洗面奶感觉泡沫有点多，
整体,感觉还好
气味,有点香味，
真伪,已扫码验证是正品
整体,东西质量不错，
功效,持久情况：上妆后很持久，
包装,包装完整，
功效,补水效果很不错，
整体,效果挺好，
价格,这个价格买到，
整体,很喜欢
使用体验,不油腻
价格,非常的实惠，
整体,这个品牌还是不错的，
使用体验,很棒很服帖不会浮粉，
使用体验,不卡粉
整体,物有所值，
气味,使用后好清淡的香味，
物流,送货挺快，
功效,一点遮瑕效果都没有，
使用体验,挺温和的
整体,效果不错哦！
功效,洗了还比较干净，
整体,挺好的!用完再购！
整体,很好，
气味,香香的挺好闻的。
使用体验,也很好推开，
整体,很方便。
使用体验,很水润！
整体,就是这样的感觉可以吧的
整体,试用了一下挺好用的，
使用体验,服贴不卡粉，
使用体验,粉质细 
整体,一点不好用跟二十块钱的产品没什么区别，
功效,遮瑕效果也特别好，
价格,价廉物美。
整体,婆婆说很不错，
整体,卖家又给多发了一瓶好评
功效,补水不错，
使用体验,用的时候不沙眼睛，
价格,感谢卖家送的礼物，
使用体验,洗的干净不干燥!
功效,补水效果特别好
功效,用着还行很保湿
服务,客服不合格
整体,还可以！
功效,很保湿啊，
功效,很好卸妆，
整体,这个真的好用
包装,看上去很大气。
服务,就是客服回复太慢了
整体,抖音种草总体来说还不错，
功效,清洁干净，
服务,效率服务都很满意，
成分,精华液也不多，
物流,运货速度也非常快非常满意
价格,也不算太贵，
功效,很划算东西很保湿补水棒棒美美哒
包装,包装很满意，
整体,不错就是快就是快快快的
整体,查了是正品！
使用体验,还痒，
使用体验,一点也不刺激，
价格,好用实惠
使用体验,用了皮肤好干
整体,效果也超级好。
使用体验,可是有点点过敏
功效,用了这么多面膜.还是觉得这个好用.超级补水保湿
整体,先好评
真伪,挺好用的是正品
整体,用着挺不错的，
包装,不管是从包装还是效果！
整体,非常好用很好
价格,性价比算高，
服务,卖家送的礼品超级喜欢 
整体,我很满意，
物流,**的服务跟物流一样棒哦
功效,自然
整体,比我想象的要好一点，
包装,上档次
价格,比平常买便宜了很多，
整体,东西很好就是有点啃爹我买了第二天就降价，
气味,有种淡淡的清香，
气味,问道也可以，
真伪,都是正品，
气味,味道也刺鼻，
整体,觉得很好用，
包装,好大一瓶发的是新包装。
使用体验,面膜也很服帖，
物流,物流也很快，
整体,不错.比在超市和店里买划算.卖家和快递服务都不错给五星好评
整体,给个五星好评吧。
整体,这个面膜挺好用的，
整体,用着还不错，
整体,老婆喜欢，
价格,买一送一价格非常合适，
包装,包装简陋，
包装,这个色号颜色偏深，
整体,一直用感觉不错所以买霜试试
服务,找客服马上补发了一瓶，
价格,双十一很划算，
功效,不是特别显白，
整体,比我想象中的效果要好很多
整体,好好好
使用体验,很贴合肤色，
整体,"新包装的和玻璃瓶的都差不多感觉、一直用***的隔离霜,平价好用"
物流,送货速度很快，
整体,效果不错?
整体,超好用的面膜
功效,这款面膜补水不错，
整体,打开东西很不错，
价格,还很划算，
价格,特划算，
整体,媳妇说了挺好用的，
功效,卸妆不是太干净，
整体,这个很好用，
使用体验,不怎么起泡沫，
使用体验,洗面奶很清爽，
功效,用量少洗的干净。
使用体验,没有过敏的情况，
整体,媳妇非常喜欢
整体,比较满意啊，
使用体验,稍有些粘腻
包装,包装很到位，
服务,联系客服没有人理会，
使用体验,很薄，
功效,保湿补水效果不错
使用体验,按压设计很有新意很方便。
价格,靠谱实在的赠品！
使用体验,贴合度：很好很满意。
使用体验,特别温和，
整体,不好用不滋润
服务,态度很好，
包装,首先包装非常，
功效,干净
功效,效果不错！
价格,送了礼物很好
整体,用着还可以。
气味,气味重不好闻，
整体,不开心
尺寸,厚度适中，
使用体验,挺细腻的。
使用体验,这款隔离挺轻薄的，
物流,收到货了物流特别快隔离特别好
整体,我干皮用着很不错
整体,挺好！
整体,看着不错和以前买的一样还没用快递小哥很给力服务很好
价格,价廉物美！
功效,持久情况：很好 
其他,量也多，
物流,物流也很快！
物流,物流配送中心很快，
整体,物有所值
使用体验,感觉很服贴自然，
使用体验,滋润度对她来说正好，
使用体验,泡沫丰富度：一般。
整体,看着不错??
气味,味道还好，
功效,美白又遮瑕，
整体,面膜面膜可以，
整体,方便快捷不错不错，
价格,就是便宜
功效,保湿效果好，
整体,喜欢**，
使用体验,不卡粉。
整体,不错值得购买 
使用体验,很润，
使用体验,吸收也挺快，
气味,味道也不是很好 
尺寸,太小了，
使用体验,皮肤很滑，
气味,就是味道不如那个好闻，
使用体验,很服帖，
物流,快递给力，
整体,看评论说还不错，
整体,效果好，
整体,这个用着不错哦，
新鲜度,快要过期，
整体,不错的！
服务,就是我贴了脸过敏但**售后不错?退还给我了
包装,面膜颜值很高，
价格,活动价格真的很实惠，
使用体验,也不紧绷，
整体,试了一下挺好
气味,味道非常喜欢，
功效,试用后挺细腻的能够很好的提亮肤色。
使用体验,还比较好涂开，
整体,真的挺好用的，
价格,给了160ml的赠品卸妆水，
使用体验,洗完脸也不紧绷
价格,"新包装的和玻璃瓶的都差不多感觉、一直用***的隔离霜,平价好用"
整体,棒棒哒！
使用体验,挺滋润补水的，
功效,遮瑕效果很好。
整体,东西收到了面膜非常不错
整体,很满意 
使用体验,特别舒服。
价格,好划算
包装,整体描述：包装完好，
包装,现在是新包装，
使用体验,很滋润、挺好的，
功效,清洁能力：洗不干净，
整体,好用划算
使用体验,清洁能力：洗挺干净又挺保湿不干燥
功效,颜色也自然
使用体验,不油、商品降价、活动 
整体,非常好用
物流,快递也快，
整体,还可以吧 
整体,妈妈很喜欢
价格,这款有点小贵。
使用体验,个人情况：太干了 
使用体验,上妆超级差，
价格,双12价格确实划算又有赠品
使用体验,挺干的，
包装,包装也挺好看的，
物流,快递员很好，
价格,这次活动价格并没有便宜很多
包装,包装好物流快给力
整体,非常失望，
整体,这款面膜用着挺好的，
价格,就是看着价位合适，
成分,感觉特别好用精华很多，
功效,虽然没有美白，
使用体验,质地好推开，
整体,面膜很不错，
价格,很划算的一次购物哦，
价格,价格很便宜！
使用体验,用后脸水润润的，
价格,正品比实体店划算
整体,好用不卡粉，
整体,很不错。
使用体验,用着不油腻，
整体,继续支持
包装,礼盒很精美，
整体,还比较合适他
使用体验,比较服帖
整体,面膜挺好用的，
整体,挺喜欢的大家放心购买。
物流,**的物流速度令人敬佩，
功效,很亮，
整体,效果很不错哦！
整体,我打劫了一个碎瓶瓶很好用的图片是偷别人的，
服务,点名一下客服海流
服务,**的服务跟物流棒棒哒
整体,真喜欢。
功效,上妆很快，
气味,粉底有香味我不太喜欢有香味的怕熏到对象
整体,真的挺好。
功效,用着效果挺不错。
价格,送了礼品。
整体,气垫霜还不错，
价格,好用不贵
价格,这个倒是很划算
气味,感觉有点味道呢，
整体,总得来说还是可以的
整体,效果不好，
价格,价格便宜量又足，
真伪,感觉像正品
价格,很惊喜
真伪,这个不知道真假咯，
整体,好用保湿！
物流,很好用、买一送一超级划算、**物流超快！
整体,试用了挺好用的，
整体,不过应该还可以吧
使用体验,用DW有点干，
物流,快递小哥也很给力，
功效,买的101象牙色有点白了 
整体,我买的怎么不好用，
功效,补水效果非常好！
整体,给个赞！
使用体验,感觉有一点厚重。
物流,物流给力！
物流,物流也很快&hellip
物流,物流非常快，
整体,这款洗面奶很好用，
整体,气垫还不错，
功效,美白效果不是太明显，
价格,活动价太棒了。
整体,适合自己最重要
真伪,应该是假的，
价格,价格很实惠，
使用体验,特别好用清爽不油腻
整体,还不错 
物流,物流速度倒是挺快的。
整体,使用还可以，
服务,服务态度很好！
整体,买了好几次了喜欢
整体,给个好评???
价格,经济实惠
包装,瓶子看着不错哦
整体,真心不好用，
功效,擦在脸上很自然，
整体,用的挺好的，
服务,客服也很好问什么答什么
功效,补水效果好，
价格,宝贝收到了很喜欢经济又实惠好评打赏
物流,?速度好快呀，
整体,一般般吧！
整体,应该是很好，
整体,用起来还不错
使用体验,面膜纸是薄透的，
整体,一直都用的***，
整体,好评哦！
物流,但很快就到了i
整体,用着很不错。
整体,还行就感觉一瓶用完，
功效,持久情况：还可以，
成分,面膜精华液量非常足，
服务,服务也非常好，
物流,又便宜又快。
使用体验,不油不闷痘。
价格,主要是活动的时候下单的，
功效,防晒效果怎么样一时真看不出来，
整体,非常满意
包装,外观很喜欢，
功效,自然，
功效,遮暇还可以，
功效,不假白亮肤滋润，
物流,物流也很快
整体,应该可以，
服务,快递小哥很给力！
服务,卖家服务好，
整体,之前买过一次用的挺好的，
功效,均匀提亮肤质的效果还是蛮好的。
功效,补水效果很好，
功效,美白，
使用体验,洗了脸不会紧绷，
价格,还送了一盒赠品。
功效,上妆效果：一般 
整体,老婆喜欢。
使用体验,用起来也方便
整体,非常好的 
整体,还可以。
整体,一如既往的好 
其他,主要是性价比比较高，
整体,俩口觉得很好的，
整体,乳液也很适合我，
使用体验,很舒服，
整体,而且不是很好用，
成分,我先用裙带藻的精华液很好，
价格,实在是太划算了。
使用体验,个人感觉抹上有点油，
整体,挺喜欢的品质，
功效,用起来也特别服帖自然，
价格,完全可以用物美价廉四个字形容，
价格,物美价廉 
功效,补水效果还可以 
物流,质量很好且送货速度快！
整体,好用！
使用体验,容易抹开，
服务,很好的卖家，
功效,保湿不好，
功效,补水效果杠杠滴。
物流,态度很好。
价格,买了三瓶送了好几样赠品，
使用体验,还是紧绷
使用体验,好推开。
物流,快递员很细心
整体,效果也不错，
使用体验,吸收也很快
价格,"还不错,在实体店看过了,**相对便宜很多,果断购买."
使用体验,没有刺激感
包装,包装不错，
物流,**快递更是没得说
使用体验,温和不刺激，
使用体验,主要不卡粉
价格,性价比很高
价格,又便宜又快。
使用体验,而且很清爽，
使用体验,但是刚开始的时候是有点干，
使用体验,用着舒服，
物流,**买东西速度快 
物流,物流特别特别给力，
价格,网购比较优惠了，
功效,补水保湿效果好，
功效,很保湿的，
使用体验,感觉泡沫不太好洗掉
功效,补水渗透性很强
整体,这个洗面奶还真不错，
使用体验,不然脸会干的脱皮
使用体验,还不错不过有点薄
功效,比较保湿！
使用体验,超级服帖，
价格,但个人感觉还是**便宜～～
成分,没有多少面膜液，
价格,双12活动买的，
整体,应该差不多，
整体,看着还不错，
功效,补水真的可以，
包装,看包装不错，
整体,非常喜欢，
物流,物流很快
价格,划算
气味,气味优雅，
物流,物流很快啊，
整体,看起来还不错，
其他,量也大，
功效,服帖保湿，
使用体验,用完脸润润的
使用体验,泡沫细腻，
功效,后期看看美白效果！
整体,她说还不错，
功效,遮瑕不是太好
整体,还是很不错的
整体,觉得挺好用的，
气味,味道清香，
物流,而且是**快递小哥亲自送到家门口来的，
使用体验,而且不伤皮肤，
功效,提亮肤色！
气味,第三次购买了?????特喜欢这种香味
整体,妈妈说好用
使用体验,挺水润的。
整体,***的化妆品还是不错的，
使用体验,很温和
价格,做活动买的，
气味,味道也挺清淡的，
气味,洗脸很香，
服务,服务不好还叫我发5颗星
整体,非常好的一款产品，
价格,价格也实惠
使用体验,没什么过敏，
使用体验,很润。
功效,而且自然，
使用体验,很贴肤，
使用体验,洗完脸之后有点滑 
功效,自然白，
整体,超级满意
物流,物流速度很快。
整体,不过送了一付面膜效果不错，
功效,清洁效果很好，
整体,比较满意。
价格,价格亲民，
价格,媳妇说挺实惠，
功效,洗的挺干净的
使用体验,不过质地很温和，
功效,保湿效果挺好，
价格,活动的时候买的，
物流,"价格实惠,物流很快,一直信赖**"
整体,特别好 
使用体验,感觉很水润 
包装,包装真心不错 
整体,个人觉得挺好用。
使用体验,试用了一下味道很好闻、皮肤显得光滑细腻。
整体,好的很，
整体,试试效果还可以
整体,很赞很喜欢，
包装,其中有一片包装坏了，
使用体验,这款泡沫少但清洗很干净，
整体,隔离试了一下很好
物流,谢谢快递小哥！
功效,自然！
价格,好用又实惠。
整体,很不错的一款洗面奶买一赠一，
整体,不错的
功效,滋润及保湿：挺滋润的
整体,还可以吧就是涂在脸上有些干
整体,都不敢用了，
服务,服务杠杠的
整体,挺漂亮的，
整体,搞活动买的第20条也不错的
功效,补水保湿效果特别好。
使用体验,不过用完脸上长痘，
功效,这款泡沫少但清洗很干净，
物流,不过到的也挺快
价格,这次趁着活动买来试试跟之前的一样不。
真伪,是正品
功效,卸妆也很干净，
整体,一直信赖
整体,东西一如既往的好用、一直支持***
真伪,假的吧，
整体,比较一下还是比较满意，
整体,不错不错挺好的
气味,好闻
功效,上妆效果：还好吧
价格,没有免邮券的就不要买了。
物流,赞**快递神速！
整体,送的挺不错的
包装,可戴包装还是完好无损！
使用体验,水份多多
尺寸,大小刚好，
其他,一点也不好用。
功效,用起来补水效果非常好。
整体,洗面奶感觉不是很好用呢，
整体,面膜效果非常不错**发货也非常给力 
功效,保湿效果，
物流,又快又好，
使用体验,水灵灵美美哒。
整体,一个两个替换装喜欢
使用体验,通透光洁美白，
价格,价钱合理，
整体,这款隔离是真的很好用啊 
整体,不错是正品值得购买！
物流,快递点个赞，
整体,应该可以
真伪,这个品牌我用了10年了这次购买不是正品
整体,对皮肤很好
功效,感觉清洁不是很够，
使用体验,用起来感觉很水润
整体,一如继往好评
价格,又实惠
使用体验,很细，
物流,**快递神速。
功效,清洁皮肤效果很好
整体,蛮好。
整体,不过还是一如既往的好用啊。
物流,**发货超快，
整体,用后感觉挺好
整体,有点小～但是很好用 
整体,好用的，
整体,感觉很不错
价格,价格较便宜，
使用体验,一点都不干，
包装,包装口不知谁给隔开了，
整体,用了跟舒服也很符合我的皮肤，
功效,不过有一点点增白效果她不喜欢
整体,用着挺好的，
尺寸,防晒的看起来有点小
整体,只剩下次日达还能安慰一下产品挺好用，
整体,东西很好用，
价格,特别便宜，
整体,相信**很满意
整体,应该不错的
价格,好划算，
使用体验,不厚重，
整体,感觉不错。
包装,特别喜欢这个新包装的，
服务,欺骗消费者！
价格,还便宜，
物流,**快递超级快，
使用体验,有些油 
功效,而且很提亮肤色&hellip
整体,很不错的一款隔离霜继续关注的&hellip
整体,面膜很好用，
使用体验,洗完之后很舒服
物流,速度快！
功效,防晒隔离效果不错，
整体,还不错、、、、、、、、、、
整体,炒鸡棒棒！
整体,好，
其他,很方便啦，
整体,还不错吧?还不错?
整体,棒极了，
整体,真的很不错，
整体,特别满意，
使用体验,很清爽
使用体验,薄薄的，
物流,不知效果怎么样送货很快，
价格,超级划算，
整体,应该不错吧
整体,很小，
整体,效果比以前更好了
包装,里面的小包装完好。
使用体验,很补水的哦，
整体,希望满意！
整体,满意。
功效,没有感觉到有美白 
整体,挺好用的味道很好闻
使用体验,吸收情况：有点厚重夏天用
价格,就是感觉能再便宜点就好了。
整体,好好好好好
整体,使用感不错，
功效,补水效果不错
功效,控油效果：很好。
整体,赠品很好，
整体,依旧好用
整体,其余都还行
使用体验,保湿不干，
使用体验,很滋润。
整体,东西很好 
气味,个人情况：有点点酒精味，
使用体验,很方便，
价格,真的是非常划算哦，
包装,这次还有包装，
价格,活动价买的，
使用体验,用的脸上都起痘了。
价格,价格还便宜，
整体,适合肤质：效果不错，
使用体验,特别水嫩
使用体验,挺服帖的。
整体,个人感觉不错！
使用体验,用了之后感觉气色很好，
整体,听朋友介绍的说很好用就买来试试，
服务,服务态度很好。
包装,只有一个塑封袋，
物流,物流太给力了！
功效,清洁作用很一般了
整体,总之很满意的啦????
整体,有史以来买的最垃圾的一次，
使用体验,这次的面膜用着过敏了！
整体,面膜也很好用
整体,用了几瓶了还行
整体,效果还可以
气味,味道也很好
使用体验,敷完湿湿润润的肤色也亮亮的！
使用体验,而且特别温和。
尺寸,瓶子挺小的，
价格,这个价格很划算。
使用体验,感觉有点卡粉，
气味,味道咱也不喜欢
价格,活动买的 
其他,按压也很方便
整体,美美的，
服务,客服小海绵的服务也很好 
物流,快递小哥辛苦了
整体,挺好用的 
整体,感觉很不错，
