Polarities,AspectTerms,OpinionTerms
正面,快递大哥,好评
正面,遮盖力,好
正面,包装,严实
正面,包装,没有损坏
正面,颜值,很高
正面,,透气
负面,,黏黏的
正面,快递小哥,很礼貌
正面,卸妆,还不错
正面,活动,还挺划算的
负面,气味,不好闻
正面,滋润度,很好
正面,颜色,喜欢
正面,,真心好用
正面,,均匀肤色
正面,成分,很安全
正面,包装,很漂亮
负面,快递员,投诉
负面,,太不好
负面,包装,太简单了
负面,味道,太香了
负面,,很稀
正面,上妆效果,很自然
正面,发货,快
正面,,特价
正面,按压设计,很方便
正面,物流,特别快
中性,遮盖力,一般
正面,,挺通透的
正面,,超实惠
正面,,真的很耐斯
正面,包装,精美
正面,上妆,透亮
负面,,坑人
正面,活动价格,优惠
正面,补水效果,明显
负面,,好干燥
正面,物流,很给力
负面,,白的不自然
正面,,挺温和的
正面,,粘稠
正面,瓶子,新款
正面,,值得信赖
中性,遮瑕力,一般
正面,保湿照顾,还不错
负面,,有点黑
正面,物流,给了
正面,控油效果,很好
正面,,超级补水
负面,,有点疼
正面,味道,可以
正面,客服态度,也很好
正面,,很清爽
正面,持久度,还行
正面,包装,也很好
正面,,不粘
正面,,很接近肤色
正面,,一直信赖
正面,时间,快
正面,,值得推荐
正面,,非常的好用
正面,持久情况,很好
正面,,适合
正面,,不腻
正面,,差不多
正面,,支持
负面,,不是很滋润
正面,发货速度,一流的
正面,,还喜欢
负面,,好差
正面,,经济实惠
正面,物流,好快
负面,,很垃圾
负面,上妆,超级差
正面,,不会差
负面,包装,坏了
负面,,特别油油
负面,,没洗干净
正面,保湿,不错
中性,颜色,稍微白一点
负面,酒精的味道,比较重
正面,卸妆,比较干净
正面,,就是好
正面,味道,喜欢的
中性,,有点滑滑的
负面,酒精味,很明显
正面,精华,特别多
正面,物流,很准时
正面,质量,很好
正面,清香,淡淡的
正面,,非常自然
正面,增品,没收到
正面,物流,真快
正面,价钱,超级值得
正面,,特别合算
负面,瓶盖设计,好巨大
中性,效果,还不知道
正面,物流,超级快
正面,滋润度,正好
正面,,很好
负面,味道,不是很喜欢
负面,,刺激
正面,包装,非常好
正面,补水,很好用
负面,活动价格,没有便宜很多
负面,,太厚
正面,,容易吸收
正面,包装,很好看
正面,,挺干净
正面,,非常满意
负面,降价,
负面,酒精味,
正面,,非常好用
正面,,很服贴
正面,,特别快
正面,,清薄
正面,,正品
正面,,不假白
正面,,很迷你
正面,,过得去
正面,泡沫,适中
正面,清洁能力,强
正面,,一点也不油
正面,快递师傅,
正面,价位,实惠
正面,持久情况,没问题
正面,,很白
正面,,还挺省
正面,遮瑕,还好
负面,包装,有点失望
正面,,挺亮白的
正面,,五星好评
正面,,挺保湿的
正面,提亮,蛮好
负面,保湿,有点干
正面,,很实在
正面,,便宜又实惠
负面,,有点胶味
正面,隔离,特别好
负面,包装,简陋
正面,快递小哥服务态度,很好
正面,,很喜欢
正面,,总体满意
正面,,不紧崩
负面,包装,没心情了
正面,补水效果,还不错
正面,外观,高大上
正面,快递小哥,很热情
正面,小礼品,很多
正面,,可以啊
正面,清洁力,不错
中性,吸收情况,有点厚重
正面,快递小哥,好服务
正面,快递,挺快的
正面,,不粘稠
正面,物流服务,快
正面,价位,很给力
正面,,比较优惠
正面,面膜纸,丝薄
负面,,稍微过敏
正面,精华液,很好
正面,,最实汇的
正面,清洁能力,还好
正面,水份,足
负面,,欺骗
正面,气味,优雅
正面,快递,特别快
正面,优惠活动,很给力
正面,,用着舒服
正面,吸收,挺好的
正面,,挺好用
正面,味道,淡淡的
负面,,可干
正面,,杠杠的
正面,,不浮粉
正面,,不油不腻
正面,,很细
负面,,渣货
正面,赠品,还可以
负面,卸妆力,最差
正面,,很棒了
中性,,赞赞
负面,面积,太小
正面,,收缩毛孔
正面,味道,淡淡的清香
负面,,差评
正面,,是真东西
负面,,一点不好用
正面,价位,很亲民
正面,,好
中性,,不知道是不是正品
负面,,稍微干燥
负面,,油
正面,快递,好评
正面,,挺补水的
正面,,挺香的
正面,价格,很亲民
正面,持久度,四星
正面,配送速度,很快
正面,,质优价廉
正面,卸妆,很干净
正面,,特别补水
中性,遮瑕力,一般般
正面,补水,强
正面,味道,清凉
负面,,不行
正面,,爱不释手
正面,,补水
正面,,比较水润
正面,,挺满意的
正面,卖家服务态度,非常好
正面,卖家,好有爱
正面,吸收,挺好
负面,遮瑕,是假
正面,,提好用
负面,包装,够随意
正面,,挺细腻
正面,发货,非常给力
负面,,有点失望
正面,包装,有档次
正面,,还挺好
正面,外观,很漂亮
正面,,真的好用
正面,服务,就是好
正面,,太快了
负面,,太差
正面,,又白又亮
负面,泡沫,有点多
正面,快递员,
正面,,特别特别划算
正面,外壳,好看
正面,物流速度,挺快的
正面,,不干涩
负面,,吸收不是很好
负面,味道,太刺鼻
正面,,很优惠
正面,快递,好
正面,,好用的
正面,,没让人失望
中性,味道,不一样
正面,,柔软
正面,客服服务,很好
正面,,很水
正面,,水润
正面,速度,太快了
正面,快递人员服务态度,很好
正面,,白的自然
正面,,非常速度
正面,清洁度,比较好
正面,,不泛白
正面,快递师傅,很给力
正面,,挺好吸收
正面,,好用
正面,快递员,很敬业
正面,提亮肤色,是真
正面,清洁皮肤效果,很好
正面,包装,不错
正面,快递,速度快
负面,,干的脱皮
正面,,喜欢喜欢
正面,,挺显白的
中性,酒精味,有点点
正面,营养液,很充足
正面,,大气上档次
正面,,非常补水
正面,,还行
正面,发货,飞快
负面,味道,刺鼻
正面,,划算多了
正面,保湿效果,一整天
正面,清理力,强
正面,价格,不贵
正面,,持久
负面,保质期,太短
正面,,清凉
正面,,挺漂亮的
正面,,亮白
负面,保湿,不好
正面,贴合,很好
正面,快递,太差劲了
正面,赠品,到位
正面,,清新
正面,,能修复皮肤
正面,,水份多多
正面,价格,不算贵
正面,味道,可以的
负面,保质期,近期
正面,快递小哥,辛苦了
正面,质地,很温和
负面,,不是很适合
正面,快递大哥,人很好
正面,包装,挺好看的
负面,,油腻腻的
正面,到货,很快
正面,配送,很给力
正面,赠品,很实在
正面,,效果明显
正面,,实惠
正面,泡沫,挺多的
正面,,很提肤色
正面,快递小哥,给力
正面,清洁,很彻底
正面,,很便宜
正面,发货速度,快
正面,,白白透透的
正面,快递,迅速
正面,味道,非常喜欢
正面,,不痒
正面,体亮,自然
负面,泡沫,过于多了
正面,礼物,很好
负面,,很心塞
负面,,不爽
正面,持久情况,还好
负面,,少了点
负面,,不开心
正面,送货,比较快
负面,,没有说的那么保湿
负面,,掉粉
正面,价格,合理
正面,隔离效果,挺不错
正面,,挺流的
正面,,超合算
正面,,不是很好吸收
正面,底色,很好
正面,,量足
正面,包装,完整
正面,送货速度,快
正面,,太赞了
正面,,价廉物美
正面,隔离效果,不错
负面,,痒
正面,,量也大
正面,味道,清新
正面,气味,甜美
负面,,有点卡粉
正面,包装,很大气
负面,清洁能力,弱
正面,物流,神速
正面,礼品,超级喜欢
正面,补水,挺好
正面,价格,挺实惠的
正面,,一点刺激感都没有
正面,,很满意
正面,价格,合适
正面,气味,光滑
正面,遮瑕效果,很好
正面,,补湿
正面,,蛮喜欢的
正面,补水,挺好的
正面,蚕丝面料,
正面,味道,很熟悉
正面,,比较贴合
负面,包装,太次
正面,,比较好涂开
负面,,很容易掉粉
正面,,不起皮
正面,,好服帖
正面,遮瑕,不错
负面,清洁能力,洗不干净
负面,,不滋润
正面,赠品,靠谱
正面,快递师傅态度,很多
负面,包装,好差
正面,,挺服帖的
负面,,东西少了
正面,礼品,很好
正面,,满分
正面,包装,完好
正面,,挺薄的
正面,快递,好快
正面,,自然美
正面,,很高兴
正面,,不卡粉
正面,,便宜了很多
正面,,不紧绷
正面,,挺满意
正面,,很满足
正面,,大赞
中性,上妆效果,比较厚重
正面,,很常满意
负面,,坏的
负面,塑料味,太浓
正面,,比较适合
正面,,很自然
正面,,爽
正面,快递速度,快
正面,性价比,不错
正面,物流,超快
正面,物流速度,太快了
正面,,遮暇
负面,,有点薄
正面,成膜,快
正面,,美美哒
正面,,很去油
正面,颜色,比较自然
负面,,很不好
正面,,无比的高大上
正面,,给个赞
负面,客服,不合格
正面,价格,很好
正面,,真喜欢
正面,,好香
中性,味道,别太香
正面,,很保湿
正面,日期,新鲜
正面,店家服务,很好
正面,,超值的
负面,卸妆,不是太干净
正面,,最喜欢的
中性,,是不是真品
正面,发货,速度快
负面,服务态度员,太差劲
正面,客服,很有耐心
正面,,非常的服帖
正面,,好干
中性,遮暇效果,一般般
正面,赠品,实在
正面,,棒棒哒
正面,,棒棒的
正面,,平价
正面,补水效果,还行
正面,,蛮白的
正面,效果,很好
正面,快递,神速
正面,瓶子,很漂亮
正面,,很修复
正面,味道,挺清淡的
正面,,很合适
正面,,超级好用
负面,保质期,不足四年
正面,味道,自然
正面,,挺好用的
正面,,比较赞的
负面,清洁能力,不太好
正面,清洁效果,很干净
负面,香味,不太喜欢
正面,快递小哥服务态度,比较好
正面,,挺水润
负面,颜色,偏黄
正面,价钱,要低得多
负面,,过期
正面,客服态度,好
负面,,比较少
正面,,可以的
正面,味道,
正面,颜色,好
正面,礼品,
正面,颜色,自然
正面,,太棒了
正面,外观,很喜欢
负面,,很旧
负面,,不是很好用
正面,,一点也不紧绷
负面,,太白
正面,颜值,较高
正面,颜色,正好
正面,快递小哥,点赞
正面,遮瑕,没有那么强
正面,补水,特别好
负面,,很小
正面,保湿效果,还行
负面,,差死了
正面,物流,也快
正面,,便宜
正面,持久,可以
负面,,一点都不水润
负面,,挺麻烦的
中性,,没有美白
负面,客服回复,太慢
正面,客服,很细心
正面,活动,超划算
中性,防晒效果,不清楚
正面,,挺温和
正面,异味,没有
正面,,一如既往的好
负面,,好小
正面,,上档次
正面,,很保水
正面,,非常划算
正面,包装,很精美
正面,,挺好了
正面,,非常的实惠
正面,价格,还可以
负面,,不贴
正面,防晒效果,不错
负面,,卸不掉
正面,隔离,好
正面,味道,不浓重
负面,形状,不规整
负面,清洁能力,差的要死
正面,,薄点
正面,,服贴
正面,,滋润
正面,活动,这么便宜
负面,,挺油腻
正面,味道,挺好闻的
正面,,不错不错
正面,包装,挺好的
正面,遮瑕效果,超级好
正面,防晒,不错
负面,,洗不净
正面,修饰肤色,比较自然
正面,,漂亮
负面,,油亮油亮
正面,,嫩嫩的
正面,,香香的
负面,,超级难用
正面,,很贴皮肤
正面,物流,真是快
正面,,便宜太多了
正面,,很平整
正面,浮粉现象,不会有
正面,,好极了
负面,,最差
正面,赠品,非常不错
正面,性价比,比较高
负面,,不怎么好用
正面,包装,很紧密
正面,遮瑕,特别好
正面,快递,太给力了
正面,遮暇效果,很好
负面,,漏了
正面,,挺舒服的
负面,快递,三流
正面,,一点没问题
正面,,确实很好
负面,,真的很一般
正面,,赞一个
正面,,特别温和
正面,,真不错
正面,洁面,很干净
正面,服务,一流
正面,,很舒适
正面,赠品,
正面,,特别滋润
正面,,接近肤色
负面,保质期,到期
中性,,有点黏黏
正面,,不遮眼睛
负面,,不怎么起泡沫
负面,,非常差
正面,卸妆效果,非常好
负面,日期,不是新的
负面,泡泡,很少
正面,,更滑
正面,,很大气
正面,,特喜欢
正面,,物美价廉
负面,味道,有点点膳
负面,保湿,差一些
正面,卖家,很好
负面,,漏水
正面,,薄薄的
正面,,很补水
正面,清洁效果,好
负面,,差了很多
正面,,水灵灵
正面,上妆效果,满好的
正面,,冰冰凉凉
正面,,很持久
正面,快递,没得说
正面,保湿效果,真的不错
正面,,特别细腻
负面,服务态度,不好
负面,客服态度,极差
正面,,没什么过敏
中性,,会不会过敏
正面,快递小哥,非常给力
正面,,一片一片的
正面,味道,香香的
负面,发货,比较慢
正面,,光滑
正面,,有美白效果
正面,水份,充足
正面,活动力度,大
正面,,可遮瑕
正面,服务,满意
正面,味道,不错
正面,持久度,不错
正面,,特别湿润
正面,味道,清香
正面,,很透
负面,外包装,
正面,,省钱
负面,包装,嫌弃
正面,泡沫,多
正面,味道,很好闻
正面,,很光滑
正面,,很喜欢用
正面,价格,多多优惠
正面,味道,有点香
正面,瓶子,不错
正面,粉质,细腻
正面,商家服务,好
负面,物流,超级差
中性,保湿度,一般般
负面,,一点也不好用
负面,,还是干
正面,活动价格,相当的便宜
正面,,比较划算
正面,物流速度,
负面,粉扑,好硬
正面,物流,棒
负面,,最差的
正面,,挺喜欢用的
正面,包装,太简陋了点
正面,,较温和
正面,,特别便宜
负面,客服态度,敷衍了事
正面,,好评
负面,瓶盖,碎了
正面,活动,便宜
正面,快递,真的快
正面,,挺划算
正面,包装,很高大尚
正面,卖家服务,好
中性,保湿效果,一般
正面,面膜纸,服帖
正面,清洁效果,很好
正面,好评,
正面,保湿效果,好
正面,外观,好看
正面,补水效果,不错
正面,服务态度,好
正面,,提亮肤色
正面,,不干皮
正面,,特别喜欢
正面,包装,很到位
负面,味道,不好闻
正面,,薄
中性,,有点油
正面,美白效果,不错
正面,补水效果,特别棒
正面,遮黄效果,特别好
中性,,有点稠
负面,遮瑕,不是太好
正面,包装盒,很好看
负面,,太小
负面,,那么白
正面,纸质,不错
正面,,比较补水
正面,,白白嫩嫩的
负面,,没有那么润
正面,,这么便宜
负面,,很讨厌
负面,,挺干燥的
正面,,看起来不错
负面,,太差了
正面,持妆,不错
负面,,不太好
负面,,起痘
正面,质地,清爽
正面,颜色,比较好看
正面,,一直用
负面,,不吸收
正面,,好干净
正面,补水,
正面,,挺自然的
正面,,妥妥的
正面,,很放心
正面,,清香型
中性,,挺好的
正面,,比较方便
正面,送货速度,超快
负面,,失望
正面,价格,合算
正面,快递员,很好
正面,吸收,很不错
正面,,好用爆了
正面,速度,好快
负面,包装,不是很好
正面,,光光的
正面,性价比,高
正面,补水,还可以
负面,精华水,少
正面,天猫直送,很给力
负面,,刺激皮肤
正面,,很滋养
正面,包装,挺精致
正面,补水效果,很不错
正面,,挺清爽的
正面,服务,棒
正面,价格,实惠
正面,厚度,适中
正面,送货,超级快
负面,,不能用
正面,,不脱妆
正面,,很适合
负面,礼盒包装,没有
正面,服务,很满意
正面,控油情况,还行
正面,瓶口,方便
正面,快递,很速度
正面,优惠活动,
正面,,略带香味
正面,补水,真的可以
负面,,是假货
中性,,干不干净
正面,,挺优惠的
中性,效果,没什么突出的
负面,客服,没有人理会
正面,外表,可以
正面,,气色很好
正面,活动,最合适
正面,,太方便了
正面,美白效果,
正面,,量很足
正面,遮瑕效果,挺好
负面,外观,粗糙
负面,,过敏
负面,,很薄
正面,物流速度,快
负面,,不是很遮瑕
正面,香味,好清淡
正面,开票,快
正面,,量大耐用
正面,清洁能力,蛮好的
正面,,比较温和
正面,,挺保湿
负面,,会紧缩
负面,精华,很少
正面,,还不错啦
负面,服务,不好
正面,价格,非常合适
正面,味道,还不错
正面,服务,很好
正面,,量比大
正面,,绝对正品
正面,,均匀
正面,,很柔暖
正面,快递,特别给力
正面,,自然白
正面,,经济
正面,服务,棒棒哒
正面,粉质,细
正面,,蛮好用
正面,,非常好
负面,颜色,偏暗
中性,味道,淡淡的
正面,,快捷
正面,隔离效果,还可以
正面,,比较自然
正面,,跟补水
中性,控油效果,
正面,,很水嫩
正面,美白效果,很不错
正面,,挺小只
正面,水分,充足
正面,物流,多块
正面,,超喜欢的
正面,,很薄
正面,,很给力
负面,,有点白
正面,,很服帖
负面,包装盒,太简陋了
负面,,不太喜欢
正面,包装,高档
正面,快递小哥服务态度,特别好
正面,颜色,有点暗
中性,,还行
正面,提亮肤色,不夸张
正面,价格,挺实惠
正面,赠品,很丰富
正面,快递速度,很快
正面,味道,喜欢
中性,,有点滑
负面,,太香了
正面,,变白了
正面,,挺快
正面,外观,很好看
负面,,水漏了
正面,物流,非常的快
正面,快递,挺给力
负面,味道,不好
负面,,有点小
正面,,是真品
负面,,浪费钱
负面,,辣脸
正面,香味,特别好闻
负面,味道,有点大
正面,物流配送,非常快
正面,颜色,很自然
负面,客服,真的忙
正面,活动,很实惠
正面,味道,很喜欢
正面,态度,好
正面,,挺湿润
负面,,效果不是很明显
负面,,不怎么补水
正面,快递,真的很快呀
正面,,有泡沫
负面,气味,刺鼻
负面,,有点点过敏
正面,,快速
负面,,很忧伤
负面,,比较油
正面,,开心
正面,,很亲和
负面,,没用
正面,,不是特别油腻
正面,,蛮自然的
正面,,不好晕开
正面,,很清爽舒服
负面,瓶子塑料,比较硬
正面,保湿效果,很好
正面,,很好闻
负面,香精,
正面,,超级棒
中性,,有一点白
正面,,不会紧绷
负面,,不是很好
正面,,好卸妆
中性,,一般
正面,,不算太贵
正面,贴合度,很好
正面,补水效果,
正面,客服,非常好
负面,,不保湿
负面,,假的
正面,,炒鸡棒棒
负面,透气性,很一般
正面,,无紧绷感
正面,,挺实惠的
正面,气味,相似
正面,妆感,还可以
正面,,清澈
正面,,很值
负面,,特别的干
正面,遮瑕,非常好
正面,气味,淡淡的
负面,粉底,有香味
正面,,不会掉粉
正面,按压设计,很有新意
负面,持久情况,
正面,,棒极了
正面,,用量少
正面,收货,很快
正面,包装,漂亮
正面,收货,完美
负面,,很硬
正面,,nice
中性,防晒效果,
正面,,提亮偏黄的肤色
正面,,不觉得油腻
正面,保湿效果,挺可以
正面,,超级喜欢
正面,,很漂亮
负面,,特别不愉快
正面,包装,很好
正面,效果,比想像的要好
正面,,超极好
正面,,好快就到
正面,价格,很优惠
正面,物流,还蛮快
负面,效果,洗不净
正面,补水,还不错
负面,,就要过期了
正面,,真心不错
负面,,好没用
正面,,不错
正面,,挺划算的
正面,快递小哥服务,好
正面,,很棒
正面,质量,棒棒哒
正面,价格,能接受
正面,,不厚重
负面,,不好
负面,包装盒,没有
负面,,太不靠谱了
正面,,超级满意
正面,物流,太快了
正面,物流,就是快
正面,,水份很多
正面,服务,到家
正面,,应该不错的
正面,快递小哥送货速度,快
正面,保湿,很不错
正面,快递小哥,神速
负面,包装,有点简陋
正面,优惠券,
正面,,很干净
正面,,很衬肤色
负面,清洁,不是很够
中性,,希望是正品
负面,,黏黏糊糊
正面,,水嫩
正面,补水效果,超级好
正面,,比较保湿
正面,,快
正面,包装,仔细
负面,赠品,没有
正面,包装,新款
负面,卸妆效果,一般般
正面,,挺舒服
正面,价格,不算高
正面,味道,很香
正面,小礼品,
正面,发货速度,挺快
正面,补水,没问题
正面,,水水嫩嫩的
正面,,非常香
正面,速度,快
负面,,有点油
中性,包装,
正面,,容易推开
正面,味道,还好
正面,,非常服帖
正面,,蛮好的
正面,,方便
正面,,物超所值
负面,,非常失望
正面,质量,杠杠滴
正面,,增白
正面,活动,便宜实惠
正面,包装,新
正面,,很贴肤
正面,赠品,好有分量
正面,美容液,比较丰富
中性,,还可以
正面,,一般
正面,,水润润的
正面,价格,挺优惠的
正面,,应该可以
正面,赠品,不少
负面,快递,
正面,价格,美丽
正面,效果,很不错
正面,,很持妆
正面,保湿效果,挺好
负面,,假货
正面,客服,耐心
正面,,水分还可以
负面,,不服帖
负面,,上当了
正面,,确实不错
正面,图案,漂亮
正面,,可以哦
正面,,没毛病
正面,,润润的
正面,清洁,太给力了
正面,客服服务态度,不错
正面,颜色,很好
负面,卸妆水,很少
正面,护肤,很适合
中性,清洁作用,很一般
正面,水分,超足
负面,,不喜欢
正面,,非常滋润
正面,,涂抹均匀
正面,,效果好
正面,快递,真的很快
正面,,特别水嫩
正面,,比较清爽
负面,,卡
正面,价钱,合理
负面,,有点麻烦
正面,,细滑
负面,,不太适合
正面,吸收,还好
正面,包装,很可爱
正面,吸收,挺快
正面,补水效果,太好
负面,包装盒,压扁了
正面,,非常的不错
正面,精华,很多
正面,清洁能力,不错
正面,,过敏了
负面,,破了
正面,,通透
正面,,挺合适的
正面,,舒服
负面,包装,不好
负面,味道,不一样
中性,,不错
正面,,无异常不适
正面,补水,没什么问题
正面,,五星
正面,盒子,粉粉的
正面,吸收,很快
正面,,很很用的
正面,活动,挺优惠的
正面,上妆效果,很好
负面,,不好上妆
负面,,有一点点痒
正面,,巨好用
正面,,水水的
负面,包装,太差了
正面,,量大
正面,味道,一样
正面,,贴个面部
正面,,很好涂抹
正面,,超神速
正面,,还保湿
正面,补水,还行
正面,补水,够用了
正面,颜色,正
正面,,蛮好用的
正面,,真的很好
负面,,不敢用
负面,,太少了
正面,,淡淡的香味
正面,配送服务态度,很好
负面,,还是紧绷
正面,快递小哥,很给力
正面,,都说好
负面,颜色,偏深
负面,包装,太简便
正面,,给赞
中性,上妆效果,一般
正面,到货速度,很快
正面,优惠力度,大
正面,快递,超赞
正面,快递,就是快
正面,包装,还不错
负面,盒子,没有
正面,,水嫩嫩的
正面,,很方便的
正面,快递,很负责
正面,价格,很合理
中性,,正不正品
正面,服务,周到
正面,上妆效果,容易上装
正面,客服态度,很好
正面,设计,喜欢
正面,保湿效果,还不错
正面,,挺不错
正面,,有点脱皮
正面,物流,太棒了
负面,效果,一点不好
正面,,有提亮
正面,,特别实惠
正面,,非常舒适
正面,客服,很好
正面,,还挺香的
正面,,便宜很多
中性,隔离效果,
正面,,不保湿
正面,,很好推开
正面,,真实
正面,质量,值得信赖
正面,隔离效果,挺好的
正面,性价比,高很多
负面,增白效果,不喜欢
正面,,好洗
正面,性价比,很高
负面,淡斑,真没看出来
正面,快递,没话说
负面,面膜液,没有多少
正面,,不会过敏
正面,,很高大上
正面,精华,蛮多
负面,气味,重
正面,,挺湿润的
正面,,很轻薄
负面,,也不好使
正面,颜值,高
正面,快递,超快
正面,物流,棒棒哒
正面,卡粉,不会有
负面,,好假
正面,美白效果,很好
正面,,挺喜欢
正面,,白白的
负面,香味,太重
正面,,听服帖
正面,,好划算
正面,快递,非常给力
正面,香味,很好闻
正面,,太划算了
正面,价格,较便宜
正面,卖家态度,不错
负面,,有些粘腻
正面,性价比,较高
负面,快递,太不靠谱
正面,保湿度,强
正面,,很控油
正面,,一点也不刺激
正面,,一如既往的喜欢
正面,价位,
正面,发货,迅速
正面,,蛮不错
正面,快递小哥,好
正面,,特别服帖
正面,,不油腻
正面,物流,好用
负面,,不适应
正面,物流,很快的
正面,物流,没话说
正面,,还可以
负面,清洁效果,不是很好
中性,遮暇,一般般
正面,,有点白
正面,,很熟服
正面,水,比较多
中性,,是正品
负面,,会紧绷
负面,,快要过期
正面,上妆效果,还好
正面,,很划算的
正面,新包装,
正面,,亮亮的
正面,,很爽
正面,,太好用了
正面,,很亮
正面,物流,比较快
负面,,被骗了
正面,,很贴合肤色
正面,,优秀
正面,,非常开心
正面,活动价格,超值
负面,,没以前好用
正面,保湿效果,棒
正面,,用着好
正面,颜色,挺合适
正面,,修正肤色
负面,价格,越来越高了
负面,,不是很白
负面,淡斑,没感觉到
正面,,湿湿润润的
正面,持妆效果,不错
负面,,不显白
负面,,连连的
正面,质地,轻薄
中性,保湿,
正面,快递公司,给力
正面,价位,经济
正面,物流,给力
负面,,怪怪的
中性,味道,
负面,,不怎么白
正面,物流,超快的
正面,,补补水
正面,,不够细腻
正面,物流,特别给力
正面,,不假面
负面,,老搓泥
正面,清洁效果,特别好
正面,精华,多
正面,,真的不错
正面,,很惊喜
正面,吸收,迅速
正面,,吸收
正面,,好一点
正面,香味,可以
